频道,#genre#
CCTV17,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225706/index.m3u8?
CCTV17,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000208/index.m3u8?
湖南卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226226/index.m3u8?
湖南卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000073/index.m3u8?
江苏卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226223/index.m3u8?
江苏卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000095/index.m3u8? 
东方卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225780/index.m3u8?
东方卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000077/index.m3u8?
北京卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225977/index.m3u8?
北京卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000017/index.m3u8? 
天津卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226001/index.m3u8?
天津卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000052/index.m3u8? 
山东卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225995/index.m3u8?
山东卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000013/index.m3u8? 
安徽卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225709/index.m3u8?
安徽卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000056/index.m3u8?
东南卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225712/index.m3u8?
东南卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000063/index.m3u8?
广东卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225983/index.m3u8?
广东卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000090/index.m3u8? 
深圳卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225739/index.m3u8?
深圳卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000092/index.m3u8? 
浙江卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226029/index.m3u8?
浙江卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000098/index.m3u8?
江西卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225721/index.m3u8?
江西卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000031/index.m3u8? 
山西卫视,http://[2409:8087:c00:21::2:11]:6610/040000001000/35100001000000060000000000000100/index.m3u8?
山西卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000100/index.m3u8?
陕西卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000055/index.m3u8?
湖北卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225989/index.m3u8?
湖北卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000014/index.m3u8?
河北卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225715/index.m3u8?
河北卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000097/index.m3u8?
河南卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225986/index.m3u8?
河南卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000048/index.m3u8?
辽宁卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225998/index.m3u8?
辽宁卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000016/index.m3u8?
四川卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225742/index.m3u8?
四川卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000082/index.m3u8?
重庆卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225804/index.m3u8?
重庆卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000025/index.m3u8? 
黑龙江卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225718/index.m3u8?
黑龙江卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000084/index.m3u8?
吉林卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226019/index.m3u8?
吉林卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000096/index.m3u8?
广西卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225786/index.m3u8?
云南卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226007/index.m3u8?
贵州卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225980/index.m3u8?
贵州卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000028/index.m3u8?
青海卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225992/index.m3u8?
海南卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225816/index.m3u8?
甘肃卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225783/index.m3u8?
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
宁夏卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225798/index.m3u8?
新疆卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225810/index.m3u8?
西藏卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226016/index.m3u8?
兵团卫视,http://mobilelive-ds.ysp.cctv.cn/ysp/2022606701_fhd.m3u8
兵团卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225751/index.m3u8?
兵团卫视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000069/index.m3u8?
山东教育,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000173/index.m3u8?
厦门卫视,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225754/index.m3u8?
山西社会与法治,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000131/index.m3u8?
山西黄河,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000128/index.m3u8?
山西经济,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000129/index.m3u8?
山西影视,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000130/index.m3u8?
山西文体生活,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000132/index.m3u8?

咪咕V4,#genre#
咪咕直播4K Ⅰ「IPV4」,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=3
咪咕直播4K Ⅱ「IPV4」,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=3
咪咕直播 1「IPV4」,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=3
咪咕直播2「IPV4」,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=3
咪咕直播3「IPV4」,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=3
咪咕直播4「IPV4」,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=3
